SNR,N,error,p
0.000000,12800000.000000,1300698.000000,0.101617
0.036789,12800000.000000,1286666.000000,0.100521
0.073579,12800000.000000,1271512.000000,0.099337
0.110368,12800000.000000,1258294.000000,0.098304
0.147157,128000000.000000,1240122.000000,0.096885
0.183946,128000000.000000,1226702.000000,0.095836
0.220736,128000000.000000,1208442.000000,0.094410
0.257525,128000000.000000,1191335.000000,0.093073
0.294314,128000000.000000,1177963.000000,0.092028
0.331104,128000000.000000,1165034.000000,0.091018
0.367893,128000000.000000,1148689.000000,0.089741
0.404682,128000000.000000,1132364.000000,0.088466
0.441472,128000000.000000,1117637.000000,0.087315
0.478261,128000000.000000,1101943.000000,0.086089
0.515050,128000000.000000,1089278.000000,0.085100
0.551839,128000000.000000,1073247.000000,0.083847
0.588629,128000000.000000,1060487.000000,0.082851
0.625418,128000000.000000,1046494.000000,0.081757
0.662207,128000000.000000,1033008.000000,0.080704
0.698997,128000000.000000,1016035.000000,0.079378
0.735786,128000000.000000,1003899.000000,0.078430
0.772575,128000000.000000,988029.000000,0.077190
0.809365,128000000.000000,972391.000000,0.075968
0.846154,128000000.000000,960212.000000,0.075017
0.882943,128000000.000000,944492.000000,0.073788
0.919732,128000000.000000,931030.000000,0.072737
0.956522,128000000.000000,915793.000000,0.071546
0.993311,128000000.000000,905159.000000,0.070716
1.030100,128000000.000000,889483.000000,0.069491
1.066890,128000000.000000,874648.000000,0.068332
1.103679,128000000.000000,863385.000000,0.067452
1.140468,128000000.000000,848183.000000,0.066264
1.177258,128000000.000000,835106.000000,0.065243
1.214047,128000000.000000,821740.000000,0.064198
1.250836,128000000.000000,807446.000000,0.063082
1.287625,128000000.000000,797643.000000,0.062316
1.324415,128000000.000000,782796.000000,0.061156
1.361204,128000000.000000,769269.000000,0.060099
1.397993,128000000.000000,755766.000000,0.059044
1.434783,128000000.000000,744478.000000,0.058162
1.471572,128000000.000000,729894.000000,0.057023
1.508361,128000000.000000,717444.000000,0.056050
1.545151,128000000.000000,705951.000000,0.055152
1.581940,128000000.000000,691827.000000,0.054049
1.618729,128000000.000000,679896.000000,0.053117
1.655518,128000000.000000,668277.000000,0.052209
1.692308,128000000.000000,658602.000000,0.051453
1.729097,128000000.000000,646742.000000,0.050527
1.765886,128000000.000000,633542.000000,0.049495
1.802676,128000000.000000,622843.000000,0.048660
1.839465,128000000.000000,610702.000000,0.047711
1.876254,128000000.000000,598708.000000,0.046774
1.913043,128000000.000000,587200.000000,0.045875
1.949833,128000000.000000,577530.000000,0.045120
1.986622,128000000.000000,565284.000000,0.044163
2.023411,128000000.000000,556455.000000,0.043473
2.060201,128000000.000000,543816.000000,0.042486
2.096990,128000000.000000,532160.000000,0.041575
2.133779,128000000.000000,522910.000000,0.040852
2.170569,128000000.000000,511219.000000,0.039939
2.207358,128000000.000000,502105.000000,0.039227
2.244147,128000000.000000,491949.000000,0.038434
2.280936,128000000.000000,480847.000000,0.037566
2.317726,128000000.000000,470737.000000,0.036776
2.354515,128000000.000000,460529.000000,0.035979
2.391304,128000000.000000,451885.000000,0.035304
